Columna;Especie;Origen;Altitud;Variety;método;color
399;Arabica;Mexico;1300;Typica;Washed / Wet;Green
400;Arabica;Mexico;1170;Caturra;Washed / Wet;Green
401;Arabica;Mexico;1300;Typica;Washed / Wet;Green
402;Arabica;Mexico;1350;Pacamara;Washed / Wet;Green
403;Arabica;Mexico;1150;Caturra;Washed / Wet;Green
404;Arabica;Mexico;1450;Typica;Washed / Wet;Bluish-Green
405;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
406;Arabica;Honduras;1396;Caturra;Washed / Wet;Green
407;Arabica;Brazil;982;Catuai;Natural / Dry;Green
408;Arabica;Brazil;934;Bourbon;Natural / Dry;Bluish-Green
409;Arabica;Costa Rica;1850;Caturra;Washed / Wet;Bluish-Green
410;Arabica;Costa Rica;1550;Catuai;Washed / Wet;Green
411;Arabica;China;1580;Catimor;Pulped natural / honey;Green
412;Arabica;Brazil;1268;Bourbon;Natural / Dry;Green
413;Arabica;Guatemala;5500;Bourbon;Washed / Wet;Green
414;Arabica;Malawi;1450;Gesha;Washed / Wet;Green
415;Arabica;Brazil;1100;Bourbon;Natural / Dry;Blue-Green
416;Arabica;Guatemala;5000;Pacas;Washed / Wet;Green
417;Arabica;Colombia;1300;Caturra;Washed / Wet;Green
418;Arabica;Taiwan;200;Typica;Semi-washed / Semi-pulped;Green
419;Arabica;Taiwan;600;Typica;Washed / Wet;Green
